time,high,low,open,volumefrom,volumeto,close
1744844400,84490.51,84027.74,84468.6,432.82,36437378.18,84029.4
1744840800,84592.98,84305.7,84552.78,263.41,22241985.6,84468.6
1744837200,84681.57,84268.47,84307.27,395.79,33447688.8,84552.78
1744833600,84648.38,84256.39,84347.67,593.63,50132310.12,84307.27
1744830000,84488.78,83804.73,84026.73,1733.12,145798198.57,84347.67
1744826400,84471.98,83280.32,83293.29,2504.26,210267385.94,84026.73
1744822800,85485.35,83289.76,85062.32,2773.39,234593509.43,83293.29
1744819200,85231.45,84718.17,84848.63,1259.37,106947333.25,85062.32
1744815600,85262.74,84508.53,84605.78,2075.78,176285175.84,84848.63
1744812000,84849.29,83729.55,83745.5,1935.04,163277995.72,84605.78
1744808400,84192.5,83502.38,83764.28,1280.57,107339203.16,83745.5
1744804800,84257.56,83735.21,84033.94,654.57,55001216.71,83764.28
1744801200,84125.29,83780.03,83942.14,386.86,32492415.49,84033.94
1744797600,83981.81,83575.87,83600.48,385.46,32320015.32,83942.14
1744794000,83922.93,83600.13,83729.64,440.48,36900309.63,83600.48
1744790400,84104.46,83143.45,83349.65,917.78,76751471.7,83729.64
1744786800,83747.58,83305.23,83646.7,483.34,40344026.12,83349.65
1744783200,83713.15,83272.61,83361.73,289.15,24151516.14,83646.7
1744779600,83805.64,83218.31,83577.58,419.19,34987979.85,83361.73
